기준년월,광역지자체,중분류,지출액,전년도 지출액
202001,충청남도,총소비,8.1921409E7,8.3486455E7
202001,충청남도,콘도,585149.0,795978.0
202001,충청남도,호텔,576416.0,565883.0
202001,충청남도,캠핑장/펜션,49266.0,24418.0
202001,충청남도,기타숙박,2350117.0,2676554.0
202001,충청남도,여행업,35412.0,19948.0
202001,충청남도,육상운송,15326.0,2691.0
202001,충청남도,수상운송,11596.0,8139.0
202001,충청남도,항공운송,0.0,33744.0
202001,충청남도,렌터카,13520.0,13734.0
202001,충청남도,관광기념품,93682.0,108321.0
202001,충청남도,레저용품쇼핑,5820900.0,6803230.0
202001,충청남도,대형쇼핑몰,1.6756613E7,1.6650656E7
202001,충청남도,관광유원시설,113667.0,92738.0
202001,충청남도,골프장,1827064.0,1461677.0
202001,충청남도,기타레저,956739.0,1713883.0
202001,충청남도,문화서비스,648433.0,588024.0
202001,충청남도,식음료,5.2067509E7,5.1926837E7
202002,충청남도,총소비,6.306889E7,8.0585315E7
202002,충청남도,콘도,290320.0,846571.0
202002,충청남도,호텔,201909.0,575858.0
202002,충청남도,캠핑장/펜션,29929.0,22518.0
202002,충청남도,기타숙박,2004258.0,2394570.0
202002,충청남도,여행업,23688.0,24044.0
202002,충청남도,육상운송,5651.0,3573.0
202002,충청남도,수상운송,6762.0,12217.0
202002,충청남도,항공운송,0.0,17236.0
202002,충청남도,렌터카,11518.0,19689.0
202002,충청남도,관광기념품,77933.0,98910.0
202002,충청남도,레저용품쇼핑,4266950.0,6222573.0
202002,충청남도,대형쇼핑몰,1.2085141E7,1.6778017E7
202002,충청남도,관광유원시설,88260.0,103738.0
202002,충청남도,골프장,2423666.0,1987003.0
202002,충청남도,기타레저,521281.0,1615279.0
202002,충청남도,문화서비스,360623.0,705450.0
202002,충청남도,식음료,4.0670999E7,4.9158069E7
202003,충청남도,총소비,6.3065471E7,1.00671648E8
202003,충청남도,콘도,185664.0,583162.0
202003,충청남도,호텔,78055.0,521094.0
202003,충청남도,캠핑장/펜션,53324.0,35909.0
202003,충청남도,기타숙박,1861796.0,3024872.0
202003,충청남도,여행업,20916.0,92547.0
202003,충청남도,육상운송,1807.0,7412.0
202003,충청남도,수상운송,4292.0,24578.0
202003,충청남도,항공운송,0.0,36352.0
202003,충청남도,렌터카,11727.0,19618.0
202003,충청남도,관광기념품,75304.0,119488.0
202003,충청남도,레저용품쇼핑,4905650.0,8447569.0
202003,충청남도,대형쇼핑몰,1.1543971E7,1.9164489E7
202003,충청남도,관광유원시설,72654.0,134881.0
202003,충청남도,골프장,4221810.0,4482429.0
202003,충청남도,기타레저,435030.0,1703552.0
202003,충청남도,문화서비스,119066.0,649246.0
202003,충청남도,식음료,3.9474408E7,6.162445E7
202004,충청남도,총소비,8.0365597E7,9.6997726E7
202004,충청남도,콘도,256561.0,583498.0
202004,충청남도,호텔,119734.0,345512.0
202004,충청남도,캠핑장/펜션,88763.0,35936.0
202004,충청남도,기타숙박,2171788.0,2986666.0
202004,충청남도,여행업,20999.0,108234.0
202004,충청남도,육상운송,2841.0,3341.0
202004,충청남도,수상운송,16043.0,62328.0
202004,충청남도,항공운송,0.0,27138.0
202004,충청남도,렌터카,11070.0,16724.0
202004,충청남도,관광기념품,95078.0,166498.0
202004,충청남도,레저용품쇼핑,7157775.0,8491805.0
202004,충청남도,대형쇼핑몰,1.3914271E7,1.5813681E7
202004,충청남도,관광유원시설,104161.0,112110.0
202004,충청남도,골프장,5670762.0,5200277.0
202004,충청남도,기타레저,569229.0,1482327.0
202004,충청남도,문화서비스,131528.0,557850.0
202004,충청남도,식음료,5.0034993E7,6.1003801E7
202005,충청남도,총소비,1.01518933E8,1.07564251E8
202005,충청남도,호텔,256566.0,572482.0
202005,충청남도,콘도,557840.0,658094.0
202005,충청남도,캠핑장/펜션,134304.0,47321.0
202005,충청남도,기타숙박,2666106.0,3254484.0
202005,충청남도,여행업,15985.0,75008.0
202005,충청남도,육상운송,2860.0,7336.0
202005,충청남도,수상운송,54356.0,87438.0
202005,충청남도,항공운송,0.0,24380.0
202005,충청남도,렌터카,11253.0,17616.0
202005,충청남도,관광기념품,147475.0,156845.0
202005,충청남도,레저용품쇼핑,1.1082026E7,9686984.0
202005,충청남도,대형쇼핑몰,1.7093441E7,1.8003692E7
202005,충청남도,관광유원시설,177680.0,156720.0
202005,충청남도,골프장,6574680.0,6234009.0
202005,충청남도,기타레저,848179.0,1795307.0
202005,충청남도,문화서비스,229672.0,760376.0
202005,충청남도,식음료,6.1666509E7,6.602616E7
202006,충청남도,총소비,8.7239456E7,9.9259104E7
202006,충청남도,호텔,201423.0,544296.0
202006,충청남도,콘도,570093.0,901191.0
202006,충청남도,캠핑장/펜션,110619.0,50338.0
202006,충청남도,기타숙박,2595560.0,3152086.0
202006,충청남도,여행업,7662.0,60277.0
202006,충청남도,육상운송,2855.0,810.0
202006,충청남도,수상운송,45031.0,59784.0
202006,충청남도,항공운송,0.0,15550.0
202006,충청남도,렌터카,15915.0,13566.0
202006,충청남도,관광기념품,88012.0,143220.0
202006,충청남도,레저용품쇼핑,7595456.0,7834302.0
202006,충청남도,대형쇼핑몰,1.4147599E7,1.657488E7
202006,충청남도,관광유원시설,127299.0,143430.0
202006,충청남도,골프장,6546616.0,6005329.0
202006,충청남도,기타레저,704087.0,1822112.0
202006,충청남도,문화서비스,276845.0,851535.0
202006,충청남도,식음료,5.4204383E7,6.1086401E7
202007,충청남도,총소비,8.7789819E7,9.4755048E7
202007,충청남도,콘도,981885.0,1469634.0
202007,충청남도,호텔,276915.0,589762.0
202007,충청남도,캠핑장/펜션,117399.0,58981.0
202007,충청남도,기타숙박,2627627.0,3164256.0
202007,충청남도,여행업,11132.0,56707.0
202007,충청남도,육상운송,4088.0,1430.0
202007,충청남도,수상운송,42796.0,51024.0
202007,충청남도,항공운송,0.0,20390.0
202007,충청남도,렌터카,22868.0,16760.0
202007,충청남도,관광기념품,102318.0,121776.0
202007,충청남도,레저용품쇼핑,6211769.0,6876658.0
202007,충청남도,대형쇼핑몰,1.4147595E7,1.5860019E7
202007,충청남도,관광유원시설,149247.0,130501.0
202007,충청남도,골프장,5858967.0,4976709.0
202007,충청남도,기타레저,793171.0,1894827.0
202007,충청남도,문화서비스,418947.0,823543.0
202007,충청남도,식음료,5.6023096E7,5.8642074E7
202008,충청남도,총소비,8.906402E7,1.06818305E8
202008,충청남도,호텔,427892.0,959734.0
202008,충청남도,콘도,1479150.0,2334476.0
202008,충청남도,캠핑장/펜션,160021.0,87167.0
202008,충청남도,기타숙박,2900214.0,3782353.0
202008,충청남도,여행업,9143.0,56481.0
202008,충청남도,육상운송,4248.0,12339.0
202008,충청남도,수상운송,44214.0,77297.0
202008,충청남도,항공운송,0.0,17162.0
202008,충청남도,렌터카,14072.0,24396.0
202008,충청남도,관광기념품,101371.0,140185.0
202008,충청남도,레저용품쇼핑,5365250.0,6178778.0
202008,충청남도,대형쇼핑몰,1.4846479E7,1.7145417E7
202008,충청남도,관광유원시설,143004.0,235640.0
202008,충청남도,골프장,5383649.0,5086432.0
202008,충청남도,기타레저,775087.0,2244472.0
202008,충청남도,문화서비스,564759.0,1086672.0
202008,충청남도,식음료,5.6845467E7,6.7349303E7
202009,충청남도,총소비,7.9711595E7,9.4012188E7
202009,충청남도,호텔,103206.0,388775.0
202009,충청남도,콘도,548820.0,741689.0
202009,충청남도,캠핑장/펜션,102905.0,32549.0
202009,충청남도,기타숙박,2395174.0,2782400.0
202009,충청남도,여행업,6606.0,93475.0
202009,충청남도,육상운송,2564.0,2265.0
202009,충청남도,수상운송,30694.0,40686.0
202009,충청남도,항공운송,0.0,17985.0
202009,충청남도,렌터카,25553.0,13708.0
202009,충청남도,관광기념품,73017.0,104473.0
202009,충청남도,레저용품쇼핑,6755767.0,7356982.0
202009,충청남도,대형쇼핑몰,1.5189985E7,1.7808089E7
202009,충청남도,관광유원시설,103496.0,127065.0
202009,충청남도,골프장,6018951.0,4592933.0
202009,충청남도,기타레저,549130.0,1834510.0
202009,충청남도,문화서비스,262763.0,672536.0
202009,충청남도,식음료,4.7542964E7,5.7402068E7
202010,충청남도,총소비,9.5032426E7,1.02764785E8
202010,충청남도,콘도,807507.0,585174.0
202010,충청남도,호텔,219552.0,373870.0
202010,충청남도,캠핑장/펜션,124192.0,44844.0
202010,충청남도,기타숙박,2866768.0,3270284.0
202010,충청남도,여행업,6663.0,96935.0
202010,충청남도,육상운송,2399.0,5352.0
202010,충청남도,수상운송,57640.0,82255.0
202010,충청남도,항공운송,0.0,12144.0
202010,충청남도,렌터카,24160.0,23571.0
202010,충청남도,관광기념품,118072.0,166512.0
202010,충청남도,레저용품쇼핑,9777896.0,9207459.0
202010,충청남도,대형쇼핑몰,1.6443477E7,1.6898424E7
202010,충청남도,관광유원시설,181690.0,173366.0
202010,충청남도,골프장,6873276.0,6080634.0
202010,충청남도,기타레저,775238.0,1826989.0
202010,충청남도,문화서비스,489400.0,763661.0
202010,충청남도,식음료,5.6264495E7,6.3153313E7
202011,충청남도,총소비,8.1436209E7,9.6537144E7
202011,충청남도,호텔,218101.0,391240.0
202011,충청남도,콘도,606548.0,593226.0
202011,충청남도,캠핑장/펜션,68225.0,60666.0
202011,충청남도,기타숙박,2586191.0,2889873.0
202011,충청남도,여행업,5174.0,85419.0
202011,충청남도,육상운송,3369.0,3455.0
202011,충청남도,수상운송,24767.0,46596.0
